@RELATION awards

@ATTRIBUTE year DATE "yyyy"
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE budget NUMERIC
@ATTRIBUTE revenue NUMERIC
@ATTRIBUTE averagerating NUMERIC
@ATTRIBUTE numvotes NUMERIC
@ATTRIBUTE class NUMERIC
@ATTRIBUTE nominations NUMERIC

@DATA
1989, 107, 27800000, 55210000, 5.4, 46888, 4, 3
1960, 109, 806947, 32000000, 8.5, 463202, 5, 9
1997, 155, 36000000, 44175400, 7.3, 60109, 9, 38
1923, 133, 100000000, 100118000, 7.3, 3811, 0, 1
1996, 117, 3000000, 4109100, 6, 8739, 1, 1
1987, 96, 4500000, 44793200, 6.6, 54369, 1, 4
1996, 103, 57000000, 51317400, 6.4, 81582, 3, 7
1994, 111, 30000000, 2869370, 7.3, 68289, 2, 3
1979, 290, 20000000, 24104100, 8.6, 5693, 4, 7
1965, 130, 9000000, 63600000, 7, 86924, 4, 5
1971, 113, 25000000, 10324400, 7.5, 47918, 1, 1
1978, 134, 24000000, 13000000, 5.3, 11610, 1, 7
1983, 123, 19000000, 65807000, 7.2, 11514, 0, 1
1993, 98, 3000000, 3902680, 5.3, 4221, 0, 2
1986, 92, 15500000, 1181200, 5.4, 470, 0, 1
1999, 95, 25000000, 34300800, 3.6, 161, 0, 1
1977, 121, 11000000, 460936000, 8.7, 992231, 50, 28
1981, 91, 1000000, 17986000, 6.6, 24459, 2, 2
1972, 175, 6000000, 134822000, 9.2, 1256997, 24, 27
1986, 116, 40000000, 49851600, 5.9, 8319, 0, 1
1996, 76, 250000, 212285, 6.4, 1766, 1, 5
1966, 72, 170000000, 76846600, 6.5, 127, 0, 2
1991, 137, 102000000, 204843000, 8.5, 804977, 24, 26
1998, 117, 15000000, 17439200, 8.2, 586192, 4, 17
1994, 102, 2000000, 11546500, 7.6, 36829, 3, 1
1995, 135, 35000000, 70960500, 7.6, 58439, 6, 14
1996, 97, 5000000, 326308, 6.1, 6878, 0, 1
1985, 161, 31000000, 87100000, 7.2, 56829, 23, 27
1998, 108, 30000000, 26525800, 6.8, 22810, 1, 18
1990, 119, 14000000, 178406000, 6.9, 230874, 8, 10
1995, 97, 12000000, 56631600, 6.8, 135066, 6, 11
1967, 117, 9500000, 43100000, 6.9, 80078, 2, 2
1989, 96, 3000000, 11642300, 5.2, 24981, 0, 1
1983, 101, 10000000, 29500000, 6.5, 27431, 1, 8
1990, 115, 26000000, 61490000, 6.6, 65806, 0, 2
1997, 138, 80000000, 112226000, 7.3, 299739, 11, 21
1970, 144, 25000000, 14500000, 7.5, 26640, 1, 7
1982, 99, 20000000, 5333660, 3.5, 2700, 0, 3
1949, 110, 55000000, 7221460, 7.6, 10571, 11, 8
