@RELATION awards

@ATTRIBUTE year DATE "yyyy"
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE budget NUMERIC
@ATTRIBUTE revenue NUMERIC
@ATTRIBUTE averagerating NUMERIC
@ATTRIBUTE numvotes NUMERIC
@ATTRIBUTE class NUMERIC
@ATTRIBUTE nominations NUMERIC

@DATA
1985, 96, 30000000, 42071100, 4.1, 215, 0, 4
1973, 74, 25000000, 24042500, 6.9, 2723, 0, 0
1985, 131, 30000000, 50300000, 6.3, 72893, 2, 4
1953, 135, 5000000, 36000000, 6.8, 7113, 3, 4
1993, 134, 11500000, 22955000, 7.9, 49040, 16, 30
1977, 92, 60000000, 36279200, 6.4, 6991, 0, 4
1965, 60, 80000000, 69102900, 7.3, 4243, 1, 3
1976, 98, 17000000, 24397500, 7.1, 1120, 0, 0
1981, 108, 18000000, 6000000, 6.7, 11673, 0, 5
1923, 90, 68000000, 85707100, 7.5, 12, 0, 0
1995, 22, 58000000, 80021700, 7.8, 8783, 2, 8
1947, 100, 25000000, 15091500, 6, 23, 0, 0
1975, 93, 45000000, 57362600, 4.4, 87, 0, 0
1987, 96, 22700000, 38119500, 7.1, 145583, 0, 1
1911, 0, 40000000, 72455300, 7.7, 6, 0, 0
1990, 104, 85000000, 64933700, 5.6, 879, 0, 0
1962, 105, 35000000, 79100000, 7.8, 21705, 0, 0
1966, 50, 80000000, 180965000, 8, 5942, 16, 39
1989, 113, 19000000, 58571500, 6.8, 31900, 0, 3
1994, 99, 50000000, 16671500, 6, 36196, 0, 0
1991, 86, 15000000, 35054900, 6.8, 45, 1, 5
1994, 133, 30000000, 66528800, 7.5, 120366, 2, 10
1993, 127, 63000000, 356784000, 8.1, 677056, 31, 21
1982, 95, 4000000, 36200000, 5.7, 35274, 0, 2
1989, 107, 11000000, 49797100, 7.2, 51924, 0, 1
1990, 146, 25000000, 46836400, 8.7, 793753, 37, 34
1970, 65, 8000000, 10106200, 4.9, 11, 0, 0
1978, 102, 20000000, 5132660, 6.9, 174, 0, 1
1964, 30, 38000000, 113502000, 8, 9839, 0, 3
1988, 45, 132000000, 234277000, 6.7, 892, 0, 1
1933, 19, 13000000, 9975680, 7.6, 1234, 0, 0
1991, 83, 16000000, 42638200, 4, 775, 0, 4
1937, 290, 100000000, 103739000, 7.3, 467, 0, 0
1973, 112, 500000, 32645, 7.4, 74137, 5, 5
1985, 112, 12000000, 65500000, 7.4, 70892, 11, 25
1972, 107, 80000000, 17593400, 7.1, 157, 1, 1
1950, 126, 70000000, 40932400, 5.8, 55, 0, 2
1947, 96, 14000000, 18535200, 6.6, 431, 0, 0
1975, 60, 3000000, 26345, 8.1, 1233, 0, 2
1981, 115, 18000000, 242374000, 8.5, 716082, 30, 23
1995, 99, 13500000, 186354, 6.7, 1319, 3, 2
1943, 85, 200000000, 658672000, 6.4, 1043, 0, 0
1944, 21, 100000000, 79711700, 5.6, 67, 0, 0
1985, 92, 22000000, 25842000, 7.8, 367, 0, 3
1981, 99, 6000000, 25244700, 7.2, 99345, 0, 4
1994, 83, 30000000, 51109400, 6.5, 81633, 0, 3
1980, 325, 44000000, 1500000, 6.8, 10832, 2, 8
1976, 60, 55000000, 78745900, 7.7, 63, 0, 1
1970, 107, 4000000, 371897, 6.9, 2128, 0, 0
1948, 102, 3700000, 2956000, 7.1, 3521, 0, 1
1924, 66, 56000000, 54540500, 6.8, 81, 0, 0
1967, 30, 135000000, 123207000, 7, 51, 0, 0
1941, 68, 100000000, 97030700, 7.4, 19, 0, 0
1994, 99, 27000000, 44450000, 5.8, 47160, 1, 4
1974, 100, 180000, 9437930, 6.8, 12, 0, 0
1991, 142, 70000000, 119655000, 6.7, 194699, 5, 13
1974, 90, 6500000, 54557300, 4.5, 41, 0, 0
1993, 104, 23500000, 10696200, 4, 37621, 0, 3
1991, 189, 40000000, 70405500, 8, 120661, 17, 24
1985, 92, 2200000, 21300000, 4.8, 24615, 0, 2
1928, 60, 30000000, 10955400, 6.7, 52, 0, 0
1964, 170, 17000000, 72000000, 7.9, 71781, 16, 13
1968, 102, 48000000, 69304300, 7, 17820, 1, 5
1993, 96, 1500000, 418953, 6.5, 17884, 2, 1
1937, 109, 50000000, 57887900, 7.6, 5383, 0, 3
1987, 107, 4500000, 871577, 6.1, 174, 0, 1
1979, 125, 8500000, 29200000, 7, 6578, 5, 8
1989, 107, 27800000, 55210000, 5.4, 46888, 4, 3
1967, 30, 120000000, 43929300, 7.2, 1839, 0, 0
1990, 111, 26000000, 91457700, 6.1, 114338, 4, 1
1970, 136, 25000000, 5000000, 6.2, 1646, 1, 4
1982, 114, 35000000, 69700000, 5.8, 8189, 0, 2
1938, 67, 100000000, 77679600, 6.8, 76, 0, 0
1992, 80, 30000000, 18501000, 5.4, 119, 0, 0
1978, 0, 7000000, 25625100, 7.1, 29, 0, 0
1992, 0, 6000000, 54606, 6.8, 9, 0, 0
1969, 30, 17000000, 16684400, 7.4, 34, 0, 0
1964, 139, 6000000, 102300000, 7.8, 117718, 15, 17
1972, 106, 45000000, 47307600, 5.6, 300, 0, 1
1980, 124, 20000000, 2000000, 4.5, 3134, 4, 11
1927, 60, 22000000, 58328700, 7, 16, 0, 0
1975, 133, 4400000, 112000000, 8.7, 736343, 30, 13
1994, 99, 10500000, 125169, 6.4, 896, 0, 1
1995, 104, 25000000, 4064330, 5.3, 26137, 0, 0
1994, 99, 5000000, 3049140, 7.4, 52510, 17, 13
1922, 0, 28000000, 31600000, 7.8, 23, 0, 0
1993, 107, 50000000, 700000, 7, 26465, 1, 8
1939, 9, 10000000, 37470000, 6.9, 142, 0, 0
1995, 101, 18000000, 70360300, 5.8, 86346, 1, 3
1974, 80, 200000000, 11905500, 5.5, 27, 0, 0
1985, 96, 44000000, 150415000, 6.4, 125481, 5, 4
1970, 95, 25000000, 23528000, 5.5, 333, 0, 0
